service_id,date,exception_type
000001,20211128,1
000001,20211205,1
000001,20211212,1
000001,20211219,1
000001,20211226,1
000001,20220102,1
000001,20220109,1
000001,20220116,1
000001,20220123,1
000001,20220130,1
000001,20220206,1
000001,20220213,1
000001,20220220,1
000002,20211213,1
000002,20211214,1
000002,20211215,1
000002,20211216,1
000002,20211217,1
000002,20211220,1
000002,20211221,1
000002,20211222,1
000002,20211223,1
000002,20211224,1
000002,20211227,1
000002,20211228,1
000002,20211229,1
000002,20211230,1
000002,20211231,1
000002,20220103,1
000002,20220104,1
000002,20220105,1
000002,20220106,1
000002,20220107,1
000002,20220110,1
000002,20220111,1
000002,20220112,1
000002,20220113,1
000002,20220114,1
000002,20220117,1
000002,20220118,1
000002,20220119,1
000002,20220120,1
000002,20220121,1
000002,20220124,1
000002,20220125,1
000002,20220126,1
000002,20220127,1
000002,20220128,1
000002,20220131,1
000002,20220201,1
000002,20220202,1
000002,20220203,1
000002,20220204,1
000002,20220207,1
000002,20220208,1
000002,20220209,1
000002,20220210,1
000002,20220211,1
000002,20220214,1
000002,20220215,1
000002,20220216,1
000002,20220217,1
000002,20220218,1
000002,20220221,1
000002,20220222,1
000002,20220223,1
000002,20220224,1
000003,20211125,1
000003,20211126,1
000003,20211129,1
000003,20211130,1
000003,20211201,1
000003,20211202,1
000003,20211203,1
000003,20211206,1
000003,20211207,1
000003,20211208,1
000003,20211209,1
000003,20211210,1
000004,20211212,1
000004,20211218,1
000004,20211219,1
000004,20211225,1
000004,20211226,1
000004,20220101,1
000004,20220102,1
000004,20220108,1
000004,20220109,1
000004,20220115,1
000004,20220116,1
000004,20220122,1
000004,20220123,1
000004,20220129,1
000004,20220130,1
000004,20220205,1
000004,20220206,1
000004,20220212,1
000004,20220213,1
000004,20220219,1
000004,20220220,1
000005,20211126,1
000005,20211127,1
000005,20211128,1
000005,20211203,1
000005,20211204,1
000005,20211205,1
000005,20211210,1
000005,20211211,1
000006,20211218,1
000006,20211225,1
000006,20220101,1
000006,20220108,1
000006,20220115,1
000006,20220122,1
000006,20220129,1
000006,20220205,1
000006,20220212,1
000006,20220219,1
000007,20211125,1
000007,20211126,1
000007,20211127,1
000007,20211128,1
000007,20211129,1
000007,20211130,1
000007,20211201,1
000007,20211202,1
000007,20211203,1
000007,20211204,1
000007,20211205,1
000007,20211206,1
000007,20211207,1
000007,20211208,1
000007,20211209,1
000007,20211210,1
000007,20211211,1
000008,20211129,1
000008,20211206,1
000008,20211213,1
000008,20211220,1
000008,20211227,1
000008,20220103,1
000008,20220110,1
000008,20220117,1
000008,20220124,1
000008,20220131,1
000008,20220207,1
000008,20220214,1
000008,20220221,1
000009,20211125,1
000009,20211126,1
000009,20211129,1
000009,20211130,1
000009,20211201,1
000009,20211202,1
000009,20211203,1
000009,20211206,1
000009,20211207,1
000009,20211208,1
000009,20211209,1
000009,20211210,1
000009,20211213,1
000009,20211214,1
000009,20211215,1
000009,20211216,1
000009,20211217,1
000009,20211220,1
000009,20211221,1
000009,20211222,1
000009,20211223,1
000009,20211224,1
000009,20211227,1
000009,20211228,1
000009,20211229,1
000009,20211230,1
000009,20211231,1
000009,20220103,1
000009,20220104,1
000009,20220105,1
000009,20220106,1
000009,20220107,1
000009,20220110,1
000009,20220111,1
000009,20220112,1
000009,20220113,1
000009,20220114,1
000009,20220117,1
000009,20220118,1
000009,20220119,1
000009,20220120,1
000009,20220121,1
000009,20220124,1
000009,20220125,1
000009,20220126,1
000009,20220127,1
000009,20220128,1
000009,20220131,1
000009,20220201,1
000009,20220202,1
000009,20220203,1
000009,20220204,1
000009,20220207,1
000009,20220208,1
000009,20220209,1
000009,20220210,1
000009,20220211,1
000009,20220214,1
000009,20220215,1
000009,20220216,1
000009,20220217,1
000009,20220218,1
000009,20220221,1
000009,20220222,1
000009,20220223,1
000009,20220224,1
000010,20211128,1
000010,20211205,1
000011,20211212,1
000011,20211213,1
000011,20211214,1
000011,20211215,1
000011,20211216,1
000011,20211217,1
000011,20211218,1
000011,20211219,1
000011,20211220,1
000011,20211221,1
000011,20211222,1
000011,20211223,1
000011,20211224,1
000011,20211225,1
000011,20211226,1
000011,20211227,1
000011,20211228,1
000011,20211229,1
000011,20211230,1
000011,20211231,1
000011,20220101,1
000011,20220102,1
000011,20220103,1
000011,20220104,1
000011,20220105,1
000011,20220106,1
000011,20220107,1
000011,20220108,1
000011,20220109,1
000011,20220110,1
000011,20220111,1
000011,20220112,1
000011,20220113,1
000011,20220114,1
000011,20220115,1
000011,20220116,1
000011,20220117,1
000011,20220118,1
000011,20220119,1
000011,20220120,1
000011,20220121,1
000011,20220122,1
000011,20220123,1
000011,20220124,1
000011,20220125,1
000011,20220126,1
000011,20220127,1
000011,20220128,1
000011,20220129,1
000011,20220130,1
000011,20220131,1
000011,20220201,1
000011,20220202,1
000011,20220203,1
000011,20220204,1
000011,20220205,1
000011,20220206,1
000011,20220207,1
000011,20220208,1
000011,20220209,1
000011,20220210,1
000011,20220211,1
000011,20220212,1
000011,20220213,1
000011,20220214,1
000011,20220215,1
000011,20220216,1
000011,20220217,1
000011,20220218,1
000011,20220219,1
000011,20220220,1
000011,20220221,1
000011,20220222,1
000011,20220223,1
000011,20220224,1
000012,20211213,1
000012,20211214,1
000012,20211215,1
000012,20211216,1
000012,20211220,1
000012,20211221,1
000012,20211222,1
000012,20211223,1
000012,20211227,1
000012,20211228,1
000012,20211229,1
000012,20211230,1
000012,20220103,1
000012,20220104,1
000012,20220105,1
000012,20220106,1
000012,20220110,1
000012,20220111,1
000012,20220112,1
000012,20220113,1
000012,20220117,1
000012,20220118,1
000012,20220119,1
000012,20220120,1
000012,20220124,1
000012,20220125,1
000012,20220126,1
000012,20220127,1
000012,20220131,1
000012,20220201,1
000012,20220202,1
000012,20220203,1
000012,20220207,1
000012,20220208,1
000012,20220209,1
000012,20220210,1
000012,20220214,1
000012,20220215,1
000012,20220216,1
000012,20220217,1
000012,20220221,1
000012,20220222,1
000012,20220223,1
000012,20220224,1
000013,20211217,1
000013,20211224,1
000013,20211231,1
000013,20220107,1
000013,20220114,1
000013,20220121,1
000013,20220128,1
000013,20220204,1
000013,20220211,1
000013,20220218,1
000014,20211127,1
000014,20211204,1
000014,20211211,1
000015,20211127,1
000015,20211128,1
000015,20211204,1
000015,20211205,1
000015,20211211,1
000016,20211212,1
000016,20211219,1
000016,20211226,1
000016,20220102,1
000016,20220109,1
000016,20220116,1
000016,20220123,1
000016,20220130,1
000016,20220206,1
000016,20220213,1
000016,20220220,1
000017,20211212,1
000017,20211219,1
000017,20211226,1
000017,20220102,1
000017,20220109,1
000018,20220116,1
000018,20220123,1
000018,20220130,1
000018,20220206,1
000018,20220213,1
000018,20220220,1
000019,20211125,1
000019,20211129,1
000019,20211130,1
000019,20211201,1
000019,20211202,1
000019,20211206,1
000019,20211207,1
000019,20211208,1
000019,20211209,1
000020,20211126,1
000020,20211128,1
000020,20211203,1
000020,20211205,1
000020,20211210,1
000021,20211127,1
000021,20211128,1
000021,20211204,1
000021,20211205,1
000021,20211211,1
000021,20211212,1
000021,20211218,1
000021,20211219,1
000021,20211225,1
000021,20211226,1
000021,20220101,1
000021,20220102,1
000021,20220108,1
000021,20220109,1
000021,20220115,1
000021,20220116,1
000021,20220122,1
000021,20220123,1
000021,20220129,1
000021,20220130,1
000021,20220205,1
000021,20220206,1
000021,20220212,1
000021,20220213,1
000021,20220219,1
000021,20220220,1
000022,20211125,1
000022,20211126,1
000022,20211127,1
000022,20211129,1
000022,20211130,1
000022,20211201,1
000022,20211202,1
000022,20211203,1
000022,20211204,1
000022,20211206,1
000022,20211207,1
000022,20211208,1
000022,20211209,1
000022,20211210,1
000022,20211211,1
000022,20211213,1
000022,20211214,1
000022,20211215,1
000022,20211216,1
000022,20211217,1
000022,20211218,1
000022,20211220,1
000022,20211221,1
000022,20211222,1
000022,20211223,1
000022,20211224,1
000022,20211225,1
000022,20211227,1
000022,20211228,1
000022,20211229,1
000022,20211230,1
000022,20211231,1
000022,20220101,1
000022,20220103,1
000022,20220104,1
000022,20220105,1
000022,20220106,1
000022,20220107,1
000022,20220108,1
000022,20220110,1
000022,20220111,1
000022,20220112,1
000022,20220113,1
000022,20220114,1
000022,20220115,1
000022,20220117,1
000022,20220118,1
000022,20220119,1
000022,20220120,1
000022,20220121,1
000022,20220122,1
000022,20220124,1
000022,20220125,1
000022,20220126,1
000022,20220127,1
000022,20220128,1
000022,20220129,1
000022,20220131,1
000022,20220201,1
000022,20220202,1
000022,20220203,1
000022,20220204,1
000022,20220205,1
000022,20220207,1
000022,20220208,1
000022,20220209,1
000022,20220210,1
000022,20220211,1
000022,20220212,1
000022,20220214,1
000022,20220215,1
000022,20220216,1
000022,20220217,1
000022,20220218,1
000022,20220219,1
000022,20220221,1
000022,20220222,1
000022,20220223,1
000022,20220224,1
000023,20211213,1
000023,20211214,1
000023,20211215,1
000023,20211216,1
000023,20211217,1
000023,20211218,1
000023,20211220,1
000023,20211221,1
000023,20211222,1
000023,20211223,1
000023,20211224,1
000023,20211225,1
000023,20211227,1
000023,20211228,1
000023,20211229,1
000023,20211230,1
000023,20211231,1
000023,20220101,1
000023,20220103,1
000023,20220104,1
000023,20220105,1
000023,20220106,1
000023,20220107,1
000023,20220108,1
000023,20220110,1
000023,20220111,1
000023,20220112,1
000023,20220113,1
000023,20220114,1
000023,20220115,1
000023,20220117,1
000023,20220118,1
000023,20220119,1
000023,20220120,1
000023,20220121,1
000023,20220122,1
000023,20220124,1
000023,20220125,1
000023,20220126,1
000023,20220127,1
000023,20220128,1
000023,20220129,1
000023,20220131,1
000023,20220201,1
000023,20220202,1
000023,20220203,1
000023,20220204,1
000023,20220205,1
000023,20220207,1
000023,20220208,1
000023,20220209,1
000023,20220210,1
000023,20220211,1
000023,20220212,1
000023,20220214,1
000023,20220215,1
000023,20220216,1
000023,20220217,1
000023,20220218,1
000023,20220219,1
000023,20220221,1
000023,20220222,1
000023,20220223,1
000023,20220224,1
000024,20211213,1
000024,20211214,1
000024,20211215,1
000024,20211216,1
000024,20211218,1
000024,20211220,1
000024,20211221,1
000024,20211222,1
000024,20211223,1
000024,20211225,1
000024,20211227,1
000024,20211228,1
000024,20211229,1
000024,20211230,1
000024,20220101,1
000024,20220103,1
000024,20220104,1
000024,20220105,1
000024,20220106,1
000024,20220108,1
000024,20220110,1
000024,20220111,1
000024,20220112,1
000024,20220113,1
000024,20220115,1
000024,20220117,1
000024,20220118,1
000024,20220119,1
000024,20220120,1
000024,20220122,1
000024,20220124,1
000024,20220125,1
000024,20220126,1
000024,20220127,1
000024,20220129,1
000024,20220131,1
000024,20220201,1
000024,20220202,1
000024,20220203,1
000024,20220205,1
000024,20220207,1
000024,20220208,1
000024,20220209,1
000024,20220210,1
000024,20220212,1
000024,20220214,1
000024,20220215,1
000024,20220216,1
000024,20220217,1
000024,20220219,1
000024,20220221,1
000024,20220222,1
000024,20220223,1
000024,20220224,1
000025,20211125,1
000025,20211127,1
000025,20211128,1
000025,20211129,1
000025,20211130,1
000025,20211201,1
000025,20211202,1
000025,20211204,1
000025,20211205,1
000025,20211206,1
000025,20211207,1
000025,20211208,1
000025,20211209,1
000025,20211211,1
000026,20211212,1
000026,20211217,1
000026,20211219,1
000026,20211224,1
000026,20211226,1
000026,20211231,1
000026,20220102,1
000026,20220107,1
000026,20220109,1
000026,20220114,1
000026,20220116,1
000026,20220121,1
000026,20220123,1
000026,20220128,1
000026,20220130,1
000026,20220204,1
000026,20220206,1
000026,20220211,1
000026,20220213,1
000026,20220218,1
000026,20220220,1
000027,20211126,1
000027,20211203,1
000027,20211210,1
000028,20211125,1
000028,20211126,1
000028,20211129,1
000028,20211130,1
000028,20211201,1
000028,20211202,1
000028,20211203,1
000029,20211127,1
000029,20211128,1
000029,20211204,1
000029,20211205,1
000029,20211206,1
000029,20211207,1
000029,20211208,1
000029,20211209,1
000029,20211210,1
000029,20211211,1
000030,20211212,1
000030,20211213,1
000030,20211214,1
000030,20211215,1
000030,20211216,1
000030,20211217,1
000030,20211219,1
000030,20211220,1
000030,20211221,1
000030,20211222,1
000030,20211223,1
000030,20211224,1
000030,20211226,1
000030,20211227,1
000030,20211228,1
000030,20211229,1
000030,20211230,1
000030,20211231,1
000030,20220102,1
000030,20220103,1
000030,20220104,1
000030,20220105,1
000030,20220106,1
000030,20220107,1
000030,20220109,1
000030,20220110,1
000030,20220111,1
000030,20220112,1
000030,20220113,1
000030,20220114,1
000030,20220116,1
000030,20220117,1
000030,20220118,1
000030,20220119,1
000030,20220120,1
000030,20220121,1
000030,20220123,1
000030,20220124,1
000030,20220125,1
000030,20220126,1
000030,20220127,1
000030,20220128,1
000030,20220130,1
000030,20220131,1
000030,20220201,1
000030,20220202,1
000030,20220203,1
000030,20220204,1
000030,20220206,1
000030,20220207,1
000030,20220208,1
000030,20220209,1
000030,20220210,1
000030,20220211,1
000030,20220213,1
000030,20220214,1
000030,20220215,1
000030,20220216,1
000030,20220217,1
000030,20220218,1
000030,20220220,1
000030,20220221,1
000030,20220222,1
000030,20220223,1
000030,20220224,1
000031,20211125,1
000031,20211127,1
000031,20211129,1
000031,20211130,1
000031,20211201,1
000031,20211202,1
000031,20211204,1
000031,20211206,1
000031,20211207,1
000031,20211208,1
